Angle Index,Angle Middle,Angle Ring,Angle Thumb Index,Angle Thumb Middle,Angle Thumb Ring,Angle Thumb Little,Label
10.34894407,113.1737118,53.31027717,0.6859776874,5.661949414,36.43724933,42.94739403,Ardhapataka
12.81689112,93.1060271,66.68689442,2.784998485,10.94673113,45.57012839,51.07136639,Ardhapataka
12.81689112,93.1060271,66.68689442,2.784998485,10.94673113,45.57012839,51.07136639,Ardhapataka
40.72509914,46.97493401,73.47420361,3.503531645,31.9306821,43.55587447,46.08092419,Ardhapataka
40.72509914,46.97493401,73.47420361,3.503531645,31.9306821,43.55587447,46.08092419,Ardhapataka
13.24291492,40.63842735,42.92612863,0.6411857114,7.514994343,38.23048939,46.68906518,Ardhapataka
13.24291492,40.63842735,42.92612863,0.6411857114,7.514994343,38.23048939,46.68906518,Ardhapataka
9.340560404,47.54480438,65.26291707,2.272667694,8.053124373,38.98717229,44.94322655,Ardhapataka
12.16922622,86.86975514,52.54942177,0.04536481991,7.660164707,39.23692948,45.94726454,Ardhapataka
8.522612915,19.38451568,34.6577542,2.317862316,7.764954589,30.28935064,44.41221833,Ardhapataka
8.522612915,19.38451568,34.6577542,2.317862316,7.764954589,30.28935064,44.41221833,Ardhapataka
10.68757468,29.16133729,45.64374571,1.463833205,8.234140936,34.72390204,43.68255748,Ardhapataka
11.08865047,17.19020063,24.40026202,2.47192986,9.405120051,29.43807952,39.60595491,Ardhapataka
11.08865047,17.19020063,24.40026202,2.47192986,9.405120051,29.43807952,39.60595491,Ardhapataka
11.08865047,17.19020063,24.40026202,2.47192986,9.405120051,29.43807952,39.60595491,Ardhapataka
11.27656012,15.31910056,40.92756072,1.067109891,8.001004501,31.13984428,40.37241277,Ardhapataka
11.27656012,15.31910056,40.92756072,1.067109891,8.001004501,31.13984428,40.37241277,Ardhapataka
9.668000197,37.04783428,54.99804469,1.591799882,7.338450562,36.66054678,40.91438322,Ardhapataka
11.20241829,60.00352699,63.11078946,0.5628469367,6.115956117,37.74777261,42.57922657,Ardhapataka
12.16922622,86.86975514,52.54942177,0.04536481991,7.660164707,39.23692948,45.94726454,Ardhapataka
11.20241829,60.00352699,63.11078946,0.5628469367,6.115956117,37.74777261,42.57922657,Ardhapataka
11.20241829,60.00352699,63.11078946,0.5628469367,6.115956117,37.74777261,42.57922657,Ardhapataka
17.95877046,28.74050434,18.43494882,1.18677431,8.367626398,33.68788416,42.94995644,Ardhapataka
17.95877046,28.74050434,18.43494882,1.18677431,8.367626398,33.68788416,42.94995644,Ardhapataka
13.77034997,4.621004289,26.56505118,4.643906909,12.84477388,22.15217322,45.84586111,Ardhapataka
